1;1;1;0;NULL;NULL
2;2;2;1;A;academy-of-life
3;3;3;1;B;academy-of-life
4;4;4;1;C;academy-of-life
5;5;5;1;D;academy-of-life
6;6;6;2;A;academy-of-life
7;7;7;2;B;academy-of-life
8;8;8;2;C;academy-of-life
9;9;9;2;D;academy-of-life
10;10;10;3;A;academy-of-life
11;11;11;3;B;academy-of-life
12;12;12;3;C;academy-of-life
13;13;13;3;D;academy-of-life
14;14;14;4;A;academy-of-life
15;15;15;4;B;academy-of-life
16;16;16;4;C;academy-of-life
17;17;17;4;D;academy-of-life
18;18;18;5;A;academy-of-life
19;19;19;5;B;academy-of-life
20;20;20;5;C;academy-of-life
21;21;21;5;D;academy-of-life
22;22;22;6;A;academy-of-life
23;23;23;6;B;academy-of-life
24;24;24;6;C;academy-of-life
25;25;25;6;D;academy-of-life
26;26;26;7;A;academy-of-life
27;27;27;7;B;academy-of-life
28;28;28;7;C;academy-of-life
29;29;29;7;D;academy-of-life
30;30;30;8;A;academy-of-life
31;31;31;8;B;academy-of-life
32;32;32;8;C;academy-of-life
33;33;33;8;D;academy-of-life
34;34;34;9;A;academy-of-life
35;35;35;9;B;academy-of-life
36;36;36;9;C;academy-of-life
37;37;37;9;D;academy-of-life
38;38;38;10;A;academy-of-life
39;39;39;10;B;academy-of-life
40;40;40;10;C;academy-of-life
41;41;41;10;D;academy-of-life
42;42;42;11;A;academy-of-life
43;43;43;11;B;academy-of-life
44;44;44;11;C;academy-of-life
45;45;45;11;D;academy-of-life
46;46;46;12;A;academy-of-life
47;47;47;12;B;academy-of-life
48;48;48;12;C;academy-of-life
49;49;49;12;D;academy-of-life
50;50;50;13;A;academy-of-life
51;51;51;13;B;academy-of-life
52;52;52;13;C;academy-of-life
53;53;53;13;D;academy-of-life
54;54;54;14;A;academy-of-life
55;55;55;14;B;academy-of-life
56;56;56;14;C;academy-of-life
57;57;57;14;D;academy-of-life
58;58;58;15;A;academy-of-life
59;59;59;15;B;academy-of-life
60;60;60;15;C;academy-of-life
61;61;61;15;D;academy-of-life
62;62;62;16;A;academy-of-life
63;63;63;16;B;academy-of-life
64;64;64;16;C;academy-of-life
65;65;65;16;D;academy-of-life
66;66;66;17;A;academy-of-life
67;67;67;17;B;academy-of-life
68;68;68;17;C;academy-of-life
69;69;69;17;D;academy-of-life
70;70;70;18;A;academy-of-life
71;71;71;18;B;academy-of-life
72;72;72;18;C;academy-of-life
73;73;73;18;D;academy-of-life
74;74;74;19;A;academy-of-life
75;75;75;19;B;academy-of-life
76;76;76;19;C;academy-of-life
77;77;77;19;D;academy-of-life
78;78;78;20;A;academy-of-life
79;79;79;20;B;academy-of-life
80;80;80;20;C;academy-of-life
81;81;81;20;D;academy-of-life
82;82;82;21;A;academy-of-life
83;83;83;21;B;academy-of-life
84;84;84;21;C;academy-of-life
85;85;85;21;D;academy-of-life
86;86;86;22;A;academy-of-life
87;87;87;22;B;academy-of-life
88;88;88;22;C;academy-of-life
89;89;89;22;D;academy-of-life
90;90;90;23;A;academy-of-life
91;91;91;23;B;academy-of-life
92;92;92;23;C;academy-of-life
93;93;93;23;D;academy-of-life
94;94;94;24;A;academy-of-life
95;95;95;24;B;academy-of-life
96;96;96;24;C;academy-of-life
97;97;97;24;D;academy-of-life
